Periode,Supplier,Kode Article,Nama Article,Qty
2023-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,106.0
2023-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,85.0
2023-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,284.0
2023-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,265.0
2023-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,147.0
2023-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,173.0
2023-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,150.0
2023-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,202.0
2023-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,227.0
2023-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,101.0
2023-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,172.0
2024-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,124.0
2024-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,150.0
2024-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,91.0
2024-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,143.0
2024-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,128.0
2024-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,195.0
2024-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,233.0
2024-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,106.0
2024-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,200.0
2024-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,198.0
2024-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,133.0
2024-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,144.0
2025-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,209.0
